"","ZIP","COUNTYNAME","STATE","STCOUNTYFP","CLASSFP"
"3029",94513,"Contra Costa County","CA",6013,"H1"
"3030",94521,"Contra Costa County","CA",6013,"H1"
"3031",94522,"Contra Costa County","CA",6013,"H1"
"3032",94564,"Contra Costa County","CA",6013,"H1"
"3033",94548,"Contra Costa County","CA",6013,"H1"
"3034",94597,"Contra Costa County","CA",6013,"H1"
"3035",94706,"Contra Costa County","CA",6013,"H1"
"3036",94511,"Contra Costa County","CA",6013,"H1"
"3037",94549,"Contra Costa County","CA",6013,"H1"
"3038",94595,"Contra Costa County","CA",6013,"H1"
"3039",94528,"Contra Costa County","CA",6013,"H1"
"3040",94516,"Contra Costa County","CA",6013,"H1"
"3041",94523,"Contra Costa County","CA",6013,"H1"
"3042",94520,"Contra Costa County","CA",6013,"H1"
"3043",94572,"Contra Costa County","CA",6013,"H1"
"3044",94804,"Contra Costa County","CA",6013,"H1"
"3045",94598,"Contra Costa County","CA",6013,"H1"
"3046",94807,"Contra Costa County","CA",6013,"H1"
"3047",94518,"Contra Costa County","CA",6013,"H1"
"3048",94531,"Contra Costa County","CA",6013,"H1"
"3049",94583,"Contra Costa County","CA",6013,"H1"
"3050",94565,"Contra Costa County","CA",6013,"H1"
"3051",94553,"Contra Costa County","CA",6013,"H1"
"3052",94708,"Contra Costa County","CA",6013,"H1"
"3053",94801,"Contra Costa County","CA",6013,"H1"
"3054",94707,"Contra Costa County","CA",6013,"H1"
"3055",94561,"Contra Costa County","CA",6013,"H1"
"3056",94570,"Contra Costa County","CA",6013,"H1"
"3057",94551,"Contra Costa County","CA",6013,"H1"
"3058",94611,"Contra Costa County","CA",6013,"H1"
"3059",94850,"Contra Costa County","CA",6013,"H1"
"3060",94505,"Contra Costa County","CA",6013,"H1"
"3061",94526,"Contra Costa County","CA",6013,"H1"
"3062",94519,"Contra Costa County","CA",6013,"H1"
"3063",94507,"Contra Costa County","CA",6013,"H1"
"3064",94517,"Contra Costa County","CA",6013,"H1"
"3065",94803,"Contra Costa County","CA",6013,"H1"
"3066",94524,"Contra Costa County","CA",6013,"H1"
"3067",94568,"Contra Costa County","CA",6013,"H1"
"3068",94582,"Contra Costa County","CA",6013,"H1"
"3069",94556,"Contra Costa County","CA",6013,"H1"
"3070",94547,"Contra Costa County","CA",6013,"H1"
"3071",94563,"Contra Costa County","CA",6013,"H1"
"3072",95543,"Del Norte County","CA",6015,"H1"
"3073",95538,"Del Norte County","CA",6015,"H1"
"3074",95531,"Del Norte County","CA",6015,"H1"
"3075",95532,"Del Norte County","CA",6015,"H1"
"3076",95567,"Del Norte County","CA",6015,"H1"
"3077",95548,"Del Norte County","CA",6015,"H1"
"3078",95667,"El Dorado County","CA",6017,"H1"
"3079",95672,"El Dorado County","CA",6017,"H1"
"3080",95682,"El Dorado County","CA",6017,"H1"
"3081",95762,"El Dorado County","CA",6017,"H1"
"3082",95634,"El Dorado County","CA",6017,"H1"
"3083",95636,"El Dorado County","CA",6017,"H1"
"3084",95735,"El Dorado County","CA",6017,"H1"
"3085",95684,"El Dorado County","CA",6017,"H1"
"3086",95623,"El Dorado County","CA",6017,"H1"
"3087",95664,"El Dorado County","CA",6017,"H1"
"3088",95613,"El Dorado County","CA",6017,"H1"
"3089",95726,"El Dorado County","CA",6017,"H1"
"3090",95614,"El Dorado County","CA",6017,"H1"
"3091",95651,"El Dorado County","CA",6017,"H1"
"3092",95635,"El Dorado County","CA",6017,"H1"
"3093",95720,"El Dorado County","CA",6017,"H1"
"3094",95721,"El Dorado County","CA",6017,"H1"
"3095",95666,"El Dorado County","CA",6017,"H1"
"3096",95633,"El Dorado County","CA",6017,"H1"
"3097",95619,"El Dorado County","CA",6017,"H1"
"3098",96158,"El Dorado County","CA",6017,"H1"
"3099",95656,"El Dorado County","CA",6017,"H1"
"3100",96150,"El Dorado County","CA",6017,"H1"
"3101",96151,"El Dorado County","CA",6017,"H1"
"3102",95709,"El Dorado County","CA",6017,"H1"
"3103",96155,"El Dorado County","CA",6017,"H1"
"3104",95629,"El Dorado County","CA",6017,"H1"
"3105",96142,"El Dorado County","CA",6017,"H1"
"3106",93622,"Fresno County","CA",6019,"H1"
"3107",93662,"Fresno County","CA",6019,"H1"
"3108",93646,"Fresno County","CA",6019,"H1"
"3109",93701,"Fresno County","CA",6019,"H1"
"3110",93640,"Fresno County","CA",6019,"H1"
"3111",93650,"Fresno County","CA",6019,"H1"
"3112",93654,"Fresno County","CA",6019,"H1"
"3113",93723,"Fresno County","CA",6019,"H1"
"3114",93706,"Fresno County","CA",6019,"H1"
"3115",93624,"Fresno County","CA",6019,"H1"
"3116",93717,"Fresno County","CA",6019,"H1"
"3117",93774,"Fresno County","CA",6019,"H1"
"3118",93602,"Fresno County","CA",6019,"H1"
"3119",93648,"Fresno County","CA",6019,"H1"
"3120",93618,"Fresno County","CA",6019,"H1"
"3121",93710,"Fresno County","CA",6019,"H1"
"3122",93234,"Fresno County","CA",6019,"H1"
"3123",93628,"Fresno County","CA",6019,"H1"
"3124",93745,"Fresno County","CA",6019,"H1"
"3125",93718,"Fresno County","CA",6019,"H1"
"3126",93773,"Fresno County","CA",6019,"H1"
"3127",93603,"Fresno County","CA",6019,"H1"
"3128",93608,"Fresno County","CA",6019,"H1"
"3129",93844,"Fresno County","CA",6019,"H1"
"3130",93777,"Fresno County","CA",6019,"H1"
"3131",93741,"Fresno County","CA",6019,"H1"
"3132",93707,"Fresno County","CA",6019,"H1"
"3133",93627,"Fresno County","CA",6019,"H1"
"3134",93625,"Fresno County","CA",6019,"H1"
"3135",93630,"Fresno County","CA",6019,"H1"
"3136",93609,"Fresno County","CA",6019,"H1"
"3137",93656,"Fresno County","CA",6019,"H1"
"3138",93664,"Fresno County","CA",6019,"H1"
"3139",93726,"Fresno County","CA",6019,"H1"
"3140",93703,"Fresno County","CA",6019,"H1"
"3141",93616,"Fresno County","CA",6019,"H1"
"3142",93668,"Fresno County","CA",6019,"H1"
"3143",93737,"Fresno County","CA",6019,"H1"
"3144",93775,"Fresno County","CA",6019,"H1"
"3145",93747,"Fresno County","CA",6019,"H1"
"3146",93709,"Fresno County","CA",6019,"H1"
"3147",93620,"Fresno County","CA",6019,"H1"
"3148",93750,"Fresno County","CA",6019,"H1"
"3149",93888,"Fresno County","CA",6019,"H1"
"3150",93761,"Fresno County","CA",6019,"H1"
"3151",93786,"Fresno County","CA",6019,"H1"
"3152",93613,"Fresno County","CA",6019,"H1"
"3153",93721,"Fresno County","CA",6019,"H1"
"3154",93792,"Fresno County","CA",6019,"H1"
"3155",93708,"Fresno County","CA",6019,"H1"
